time,1,2,3,4,5,6,7,8,9
0,-80,-80,-80,-80,-80,-80,-80,-80,-80
411.2,-80,-80,-80,-80,-80,-80,-80,-80,-80
411.3,-120,-120,-120,-120,-120,-120,-120,-120,-120
461.2,-120,-120,-120,-120,-120,-120,-120,-120,-120
461.3,-80,-80,-80,-80,-80,-80,-80,-80,-80
661.2,-80,-80,-80,-80,-80,-80,-80,-80,-80
661.3,50,50,50,50,50,50,50,50,50
2661.2,50,50,50,50,50,50,50,50,50
2661.3,-40,-50,-60,-70,-80,-90,-100,-110,-120
8661.2,-40,-50,-60,-70,-80,-90,-100,-110,-120
8661.3,-120,-120,-120,-120,-120,-120,-120,-120,-120
9161.2,-120,-120,-120,-120,-120,-120,-120,-120,-120
9161.3,-80,-80,-80,-80,-80,-80,-80,-80,-80
10322.3,-80,-80,-80,-80,-80,-80,-80,-80,-80
