Time,Voltage
0,-84.35915
23.16934,-84.31093
23.79863,-69.33025
25.28604,-44.36503
26.02975,44.70432
29.00458,42.16651
33.58124,39.68543
37.18535,37.93786
43.13501,38.99762
52.45995,40.00226
71.33867,39.67553
90.21739,38.72741
109.09611,36.93598
127.97483,34.94483
146.85355,32.79833
165.73227,30.58526
184.61098,28.01711
203.4897,25.29361
222.36842,22.21504
241.24714,19.55812
260.12586,15.7916
279.00458,11.58122
297.8833,7.03797
316.76201,2.49471
335.64073,-1.67127
354.51945,-6.06973
366.33704,-9.48519
380.26316,-13.06354
397.42563,-18.30271
411.15561,-23.43277
419.73684,-27.49041
426.54462,-31.26383
433.46682,-35.55798
440.73227,-41.11328
447.31121,-47.66154
452.28833,-54.0313
456.63616,-59.92524
459.21053,-66.3324
463.32952,-73.38595
472.9405,-81.20779
478.94737,-82.93387
491.81922,-83.42087
510.69794,-83.52568
529.57666,-83.65269
548.45538,-83.89066
567.3341,-83.99548
586.21281,-83.98933
605.09153,-83.98319
623.97025,-83.97704
641.13272,-83.97146
650,-83.93602
